"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm13493",1.42532706214664e-19,2.00873072985131,1,1,5.23850455150755e-15
"Ptprs",1.42532706214664e-19,3.11775793321987,1,0.983,5.23850455150755e-15
"Rpl19-ps1",1.42532706214664e-19,2.23878350752359,1,1,5.23850455150755e-15
"Sf3b6",1.42532706214664e-19,2.73363204167868,1,1,5.23850455150755e-15
"Gm13379",1.44820576687021e-19,3.93848317735184,0.962,0.603,5.32259065497807e-15
"Gm8894",1.48189620504144e-19,3.54227828034221,1,0.931,5.44641312238881e-15
"Gm15148",1.48318536857521e-19,3.14674217739876,1,0.966,5.45115118512448e-15
"Gm6788",1.48332867485321e-19,2.57040809730821,1,1,5.45167787868799e-15
"Eef2",1.5436616173461e-19,2.02675148947714,1,1,5.67341954223211e-15
"Gm16399",1.5436616173461e-19,2.49942105861815,1,1,5.67341954223211e-15
"Gm4617",1.5436616173461e-19,2.37585055231902,1,1,5.67341954223211e-15
"Gm6023",1.5436616173461e-19,3.03692171733881,1,1,5.67341954223211e-15
"Gm13488",1.54985224458946e-19,3.47374131102826,0.987,0.845,5.69617195453964e-15
"Gm11407",1.59776571084672e-19,3.0389618837812,0.987,0.897,5.87226831707497e-15
"Gm14200",1.60641840461743e-19,3.01046905611219,1,0.983,5.90406956249046e-15
"Rps25-ps1",1.60641840461743e-19,2.01331327517743,1,1,5.90406956249046e-15
"Lamb1",1.6123093456406e-19,4.87032656368849,1,0.483,5.92572053803291e-15
"Gm13500",1.64786446809757e-19,3.79033274762577,0.962,0.569,6.05639627959899e-15
"Meis2",1.67074654826319e-19,-4.5144292432005,0.19,0.948,6.14049478883169e-15
"Gm12242",1.7051454174311e-19,3.01600359152725,0.987,0.983,6.26692095268453e-15
"Gm11401",1.71217326518875e-19,2.94561574141826,1,0.828,6.2927504015482e-15
"Ftl1-ps1",1.73959182787395e-19,2.55622234631221,1,1,6.39352184498515e-15
"Gm15593",1.76865558682676e-19,3.02053790971356,0.987,0.569,6.50033987826441e-15
"Pdk1",1.77331962333818e-19,5.30047413793729,0.987,0.448,6.51748161165481e-15
"Platr22",1.77933861631567e-19,5.88682968465144,0.987,0.328,6.53960321654497e-15
"Gm5069",1.78488268124383e-19,4.02730065762829,0.975,0.776,6.55997931837545e-15
"Cdc42",1.81021217336783e-19,2.64775018284354,1,1,6.65307280077878e-15
"Gm6265",1.81021217336783e-19,2.23122378573692,1,1,6.65307280077878e-15
"Cks1brt",1.82780842219753e-19,3.37900920661188,0.987,0.69,6.71774429410257e-15
"Acta2",1.88881812334102e-19,14.4209587350092,0.899,0.155,6.94197324871525e-15
"Nav2",1.89271295248787e-19,3.99318720556983,1,0.776,6.95628791427865e-15
"Gm15877",1.93275956812981e-19,3.10787071898287,0.975,0.776,7.10347124074748e-15
"Gm4705",1.96005962690648e-19,2.66084276440056,1,1,7.2038071467694e-15
"Snrpe",1.96005962690648e-19,1.85696924029174,1,1,7.2038071467694e-15
"Phlda2",1.97367379772798e-19,5.34038575925709,1,0.5,7.25384330878963e-15
"Rpl35a-ps5",2.12215204202875e-19,2.61838512031902,1,1,7.79954540006826e-15
"Gm12090",2.15264268158472e-19,3.33195892105093,1,0.724,7.91160764762833e-15
"Pomp",2.20809564524227e-19,2.16896182679296,1,1,8.11541392495891e-15
"Gm14148",2.28866432428161e-19,3.52721353482261,0.975,0.793,8.41152799103222e-15
"Gls",2.2974767206627e-19,4.01806518102551,1,0.983,8.44391619145164e-15
"Gm11598",2.2974767206627e-19,2.73129150419902,1,1,8.44391619145164e-15
"Gm14928",2.30217130582138e-19,4.06168175309573,0.949,0.397,8.46117020028531e-15
"Gm6181",2.35752039251474e-19,3.48934270490004,1,0.741,8.66459469860942e-15
"Gm7129",2.37093721172172e-19,3.09458264149688,0.975,0.69,8.71390553424085e-15
"Gm5687",2.38245240827916e-19,2.65375587379584,1,0.897,8.75622733614839e-15
"Cct2",2.48709947134392e-19,2.0605263780321,1,1,9.14083668703032e-15
"Eif5a",2.48709947134392e-19,2.10817691791047,1,1,9.14083668703032e-15
"Gm14970",2.49930226197433e-19,3.02725383437981,1,0.776,9.18568560343424e-15
"Gm8880",2.57384934743621e-19,2.79520345821473,1,0.879,9.45966850663231e-15
"Fth1",2.5876286601441e-19,2.42255695781521,1,1,9.51031161462762e-15
"Gm8730",2.5876286601441e-19,2.29277785910038,1,1,9.51031161462762e-15
"Gm9843",2.5876286601441e-19,2.16222785268528,1,1,9.51031161462762e-15
"mt-Nd2",2.5876286601441e-19,2.35703919228312,1,1,9.51031161462762e-15
"Rps12-ps5",2.67071451042471e-19,2.92169003434952,1,0.862,9.81567704016395e-15
"Rps19-ps8",2.799818081763e-19,3.03394309116093,1,0.948,1.02901713959036e-14
"Gm2423",2.8008839013875e-19,2.38722060159351,1,1,1.02940886027695e-14
"Lin28b",2.80316960551996e-19,8.31204018587517,0.899,0.121,1.03024892511675e-14
"Gm8526",2.8337591805838e-19,2.72373683596594,1,0.638,1.04149151163996e-14
"Gm12565",2.8357281242587e-19,3.272924006011,1,0.793,1.0422151575088e-14
"mt-Rnr1",2.91393234896642e-19,2.13365613751386,1,1,1.07095755621563e-14
"Txnl4a",2.91393234896642e-19,2.76614149237056,1,0.983,1.07095755621563e-14
"Slc1a3",2.91517477742196e-19,6.68817108669943,0.949,0.259,1.07141418594589e-14
"Ftl1",3.03148675924361e-19,2.41183286190936,1,1,1.1141623286248e-14
"Fubp1",3.03148675924361e-19,2.48156832244216,1,1,1.1141623286248e-14
"Gm11353",3.03148675924361e-19,2.59401637519526,1,0.983,1.1141623286248e-14
"Gm10012",3.15372441414982e-19,2.88120607592448,1,0.983,1.15908833393248e-14
"Gm11221",3.15372441414982e-19,2.59388481210987,1,1,1.15908833393248e-14
"Gm7117",3.28082947704749e-19,2.54522439702587,1,1,1.20580325769926e-14
"Cyb5a",3.41299325611853e-19,3.09580613064308,1,0.983,1.25437741142124e-14
"Gm13408",3.41299325611853e-19,2.36000606012988,1,1,1.25437741142124e-14
"Hspa9-ps1",3.55041447768609e-19,3.28037992626669,1,1,1.30488383298397e-14
"Ptma",3.69329956984089e-19,2.02678280647969,1,1,1.35739839090362e-14
"Rpl37rt",3.69329956984089e-19,2.00014383607601,1,1,1.35739839090362e-14
"Gm13268",3.99632736406735e-19,2.56421763850478,1,1,1.46877019611567e-14
"Gm7658",3.99632736406735e-19,2.23731768183447,1,1,1.46877019611567e-14
"Gm9104",3.99632736406735e-19,2.64146753017496,1,1,1.46877019611567e-14
