"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Moxd1",6.24307433322586e-07,0.381316371028278,0.405,0.034,0.022945171096905
"Eif2s1",6.30948865134762e-07,0.506144518899206,1,1,0.0231892636402979
"Nipal3",6.34388539233575e-07,-0.310793933027879,0.38,0.776,0.0233156819824516
"Arhgap30",6.40865046511314e-07,-0.702186551091585,0.405,0.707,0.0235537130544303
"Dppa5a",6.45310722718273e-07,-0.635452673898203,0.987,1,0.0237171049920647
"Pdcl3",6.59967617280944e-07,0.607631385383014,1,0.966,0.0242557898379265
"Cggbp1",6.59987376835284e-07,-0.818615301312994,0.987,1,0.0242565160608272
"Smarca5",6.59987376835284e-07,-0.760080118543847,1,1,0.0242565160608272
"Gm4027",6.6404093098715e-07,-1.02283209123126,0.114,0.466,0.0244054963365707
"Tomm70a",6.74985442855245e-07,0.843320467751866,1,1,0.0248077399812588
"Rida",6.80896570151953e-07,0.492447719496884,0.987,0.879,0.0250249916427947
"Inpp5f",6.98353250263097e-07,1.03445796890537,0.962,0.828,0.0256665770069196
"Creb3l2",7.02555920160363e-07,-0.562705819928633,0.506,0.862,0.0258210377336538
"Pdap1",7.05972937298051e-07,0.306109831339524,1,1,0.0259466233645153
"Maoa",7.10037611200935e-07,0.705686200687031,0.987,0.759,0.026096012324468
"Zfp980",7.21954799874129e-07,-0.586243672901141,0.975,1,0.0265340047597739
"Ikbkb",7.37434945654992e-07,-0.711587686037138,0.722,0.966,0.0271029465576579
"Ergic1",7.53785696158062e-07,0.589311313679639,1,0.879,0.0277038856908973
"L1td1",7.55037909254559e-07,0.891789946914237,1,1,0.0277499082788328
"Zbtb11",7.55037909254559e-07,-0.529850157223425,1,1,0.0277499082788328
"Gm9843",7.72110970150646e-07,0.345384670875823,1,1,0.0283773944859467
"Zfp977",7.82947121532139e-07,-0.693896382669724,0.709,0.948,0.0287756555576707
"Zp3",7.83203262976504e-07,-0.574816428340548,0.329,0.759,0.0287850695241755
"Lasp1",7.89322433737064e-07,0.784703028207921,1,0.931,0.0290099674071383
"Mapkapk3",8.05733207132672e-07,0.488596865655132,0.848,0.397,0.0296131125617471
"Kmt2d",8.07379564094907e-07,-0.507118107755329,1,1,0.0296736211191801
"Nampt",8.07379564094907e-07,0.851943510888329,0.987,1,0.0296736211191801
"Tcstv3",8.11134707518121e-07,-0.357539023222781,0,0.276,0.0298116339054135
"Arhgap44",8.2415865671753e-07,-0.973963497464535,0.861,0.897,0.0302903031103394
"Cox5b",8.25590748291329e-07,-0.336024377477455,1,1,0.0303429367719512
"Map7d1",8.40238873487017e-07,0.329169209956569,0.785,0.379,0.0308812993172684
"Gopc",8.43260260283515e-07,0.343477047380645,0.861,0.379,0.0309923443462
"Fam96b",8.44097995628838e-07,-0.428481572481453,0.962,1,0.0310231336333467
"Rpl9",8.63207190911852e-07,-0.420327334219894,1,1,0.0317254538875833
"Brwd3",8.85054760795333e-07,0.413330170394758,0.987,0.81,0.0325284176235109
"Tjp1",9.02365815227634e-07,0.945714269559621,1,0.948,0.0331646508070612
"Clk1",9.02471343586408e-07,-1.08753697757201,1,1,0.0331685292908313
"Paip2",9.02471343586408e-07,0.67461316562721,1,1,0.0331685292908313
"Ccm2",9.02723891815666e-07,0.345578392464135,0.823,0.431,0.0331778111959012
