"","GeneID","Cluster"
"718","Sh3bp5","cluster5"
"719","Jhdm1d","cluster5"
"720","Fgr","cluster5"
"721","Slc16a3","cluster5"
"722","Cd33","cluster5"
"723","Slc27a4","cluster5"
"724","Ppp1r42","cluster5"
"725","Dfna5","cluster5"
"726","Lilrb4","cluster5"
"727","Slc2a3","cluster5"
"728","Rasgrp4","cluster5"
"729","Lpcat2","cluster5"
"730","Trem1","cluster5"
"731","Ssu72","cluster4"
"732","Psenen","cluster4"
"733","Chmp2a","cluster4"
"734","Twf2","cluster4"
"735","Rnf130","cluster4"
"736","Atg3","cluster4"
"737","Cmpk1","cluster4"
"738","Sumo1","cluster4"
"739","Lamtor2","cluster4"
"740","Vapa","cluster4"
"741","Ap3s1","cluster4"
"742","Uqcrb","cluster4"
"743","Pgls","cluster4"
"744","1500032L24Rik","cluster4"
"745","Srp9","cluster4"
"746","Pcbp2","cluster4"
"747","Xist","cluster4"
"748","Ndufa4","cluster4"
"749","Rpl36al","cluster4"
"750","Snrpg","cluster4"
"751","Snrpe","cluster4"
"752","Atp5g2","cluster4"
"753","Rpl22l1","cluster4"
"754","Eif4g2","cluster4"
"755","Reep5","cluster4"
"756","Ppp4c","cluster4"
"757","Top1","cluster4"
"758","Edf1","cluster4"
"759","Ppp1cc","cluster4"
"760","Raly","cluster4"
"761","Ywhah","cluster4"
"762","2310036O22Rik","cluster4"
"763","Naa38","cluster4"
"764","Sf3b2","cluster4"
"765","Anp32b","cluster4"
"766","Ptma","cluster4"
"767","Hmgb1","cluster4"
"768","Tagln2","cluster4"
"769","H2afv","cluster4"
"770","Stmn1","cluster4"
"771","Tuba1b","cluster4"
"772","Lsm5","cluster4"
"773","Calm2","cluster4"
"774","Cks2","cluster4"
"775","Tuba4a","cluster4"
"776","Ube2s","cluster4"
"777","Tubb5","cluster4"
"778","Smc4","cluster4"
"779","Tpr","cluster4"
"780","Fam111a","cluster4"
"781","Csnk2b","cluster4"
"782","Dynlrb1","cluster4"
"783","Tomm22","cluster4"
"784","Ndufa7","cluster4"
"785","Oaz1","cluster4"
"786","Cd47","cluster4"
"787","Sec11c","cluster4"
"788","Mdh2","cluster4"
"789","Psmb3","cluster4"
"790","Psma2","cluster4"
"791","Ndufb9","cluster4"
"792","Vdac2","cluster4"
"793","Nedd8","cluster4"
"794","Srsf2","cluster4"
"795","Tmed2","cluster4"
"796","Gnas","cluster4"
"797","Sep15","cluster4"
"798","Hnrnpk","cluster4"
"799","Ost4","cluster4"
"800","Sec61g","cluster4"
"801","Cox7b","cluster4"
"802","Eif3f","cluster4"
"803","Plac8","cluster4"
"804","Cmtm7","cluster4"
"805","1810006K21Rik","cluster4"
"806","Tomm7","cluster4"
"807","Atp5j2","cluster4"
"808","Sub1","cluster4"
"809","2010107E04Rik","cluster4"
"810","Atp5c1","cluster4"
"811","Minos1","cluster4"
"812","Atp5d","cluster4"
"813","Btf3","cluster4"
"814","Pabpc1","cluster4"
"815","Rpl36","cluster4"
"816","Rpl15","cluster4"
"817","Rpl14","cluster4"
"818","Rps28","cluster4"
"819","Naca","cluster4"
"820","Ybx1","cluster4"
"821","Eif5a","cluster4"
"822","Hspa8","cluster4"
"823","Atp5b","cluster4"
"824","Eif3k","cluster4"
"825","Eif3h","cluster4"
"826","Rpl5","cluster4"
"827","Rpl22","cluster4"
"828","Rps2","cluster4"
"829","Rpl3","cluster4"
"830","Rpl10a","cluster4"
"831","Rpl36a","cluster4"
"832","Rpl12","cluster4"
"833","Gnb2l1","cluster4"
"834","Eef2","cluster4"
"835","Eef1b2","cluster4"
"836","Slc25a5","cluster4"
"837","Eif4a1","cluster4"
"838","Psmb1","cluster4"
"839","Polr1d","cluster4"
"840","Ndufs6","cluster4"
"841","0610009D07Rik","cluster4"
"842","Ube2i","cluster4"
"843","Snx3","cluster4"
"844","Tbca","cluster4"
"845","Higd2a","cluster4"
"846","Fam107b","cluster4"
"847","Capza2","cluster4"
"848","Ube2l3","cluster4"
"849","Tceb1","cluster4"
"850","Rp9","cluster4"
"851","Ier3ip1","cluster4"
"852","Aurkaip1","cluster4"
"853","Ndufb8","cluster4"
"854","Pomp","cluster4"
"855","Psma1","cluster4"
"856","Rbm39","cluster4"
"857","Rasgrp2","cluster4"
"858","Tmem167","cluster4"
"859","Ak2","cluster4"
"860","Ap2m1","cluster4"
"861","Ndufb3","cluster4"
"862","Brp44l","cluster4"
"863","Anapc13","cluster4"
"864","Atp5k","cluster4"
"865","Ube2d2","cluster4"
"866","Ccdc56","cluster4"
"867","Use1","cluster4"
"868","2310016M24Rik","cluster4"
"869","Fkbp8","cluster4"
"870","Atxn10","cluster4"
"871","Rbfa","cluster4"
"872","Bloc1s1","cluster4"
"873","Srp14","cluster4"
"874","Mrps21","cluster4"
"875","Rtn3","cluster4"
"876","Sdcbp","cluster4"
"877","Grcc10","cluster4"
"878","Ucp2","cluster4"
"879","Ywhaz","cluster4"
"880","Rod1","cluster4"
"881","Tln1","cluster4"
"882","Fxc1","cluster4"
"883","Nfkbia","cluster4"
"884","Dazap2","cluster4"
"885","Ccdc12","cluster4"
"886","Laptm5","cluster4"
"887","Serp1","cluster4"
"888","H2-K1","cluster4"
"889","Cox7a2l","cluster4"
"890","Fxyd5","cluster4"
"891","Ctsd","cluster4"
"892","Neat1","cluster4"
"893","Supt4h1","cluster4"
"894","Jun","cluster4"
"895","2900053A13Rik","cluster4"
"896","Map1lc3b","cluster4"
"897","Fcgr3","cluster4"
"898","Fam32a","cluster4"
"899","Bri3","cluster4"
"900","Pak2","cluster4"
"901","Rock1","cluster4"
"902","Cript","cluster4"
"903","Nfu1","cluster4"
"904","Trappc2l","cluster4"
"905","Dbnl","cluster4"
"906","Snapc5","cluster4"
"907","Fes","cluster4"
"908","Csf2ra","cluster4"
"909","Smpdl3a","cluster4"
"910","Tnfrsf1a","cluster4"
"911","Ralbp1","cluster4"
"912","Rps6ka1","cluster4"
"913","2810407C02Rik","cluster4"
"914","BC031181","cluster4"
"915","Ptpn6","cluster4"
"916","Rgs19","cluster4"
"917","Hmha1","cluster4"
"918","Rabac1","cluster4"
"919","Tmem50a","cluster4"
"920","Tmem59","cluster4"
"921","Tnfaip8","cluster4"
"922","Cd37","cluster4"
"923","Lamp2","cluster4"
